Ferak orthoferavirus;Orthoferavirus;Unassigned;Feraviridae;Bunyavirales;ssRNA(-)
Equine mastadenovirus B;Mastadenovirus;Unassigned;Adenoviridae;Unassigned;dsDNA
Human mastadenovirus A;Mastadenovirus;Unassigned;Adenoviridae;Unassigned;dsDNA
Human mastadenovirus B;Mastadenovirus;Unassigned;Adenoviridae;Unassigned;dsDNA
Human mastadenovirus C;Mastadenovirus;Unassigned;Adenoviridae;Unassigned;dsDNA
Human mastadenovirus D;Mastadenovirus;Unassigned;Adenoviridae;Unassigned;dsDNA
Human mastadenovirus E;Mastadenovirus;Unassigned;Adenoviridae;Unassigned;dsDNA
Human mastadenovirus F;Mastadenovirus;Unassigned;Adenoviridae;Unassigned;dsDNA
Human mastadenovirus G;Mastadenovirus;Unassigned;Adenoviridae;Unassigned;dsDNA
Murine mastadenovirus A;Mastadenovirus;Unassigned;Adenoviridae;Unassigned;dsDNA
Murine mastadenovirus B;Mastadenovirus;Unassigned;Adenoviridae;Unassigned;dsDNA
Murine mastadenovirus C;Mastadenovirus;Unassigned;Adenoviridae;Unassigned;dsDNA
Ovine mastadenovirus A;Mastadenovirus;Unassigned;Adenoviridae;Unassigned;dsDNA
Ovine mastadenovirus B;Mastadenovirus;Unassigned;Adenoviridae;Unassigned;dsDNA
Platyrrhini mastadenovirus A;Mastadenovirus;Unassigned;Adenoviridae;Unassigned;dsDNA
Porcine mastadenovirus A;Mastadenovirus;Unassigned;Adenoviridae;Unassigned;dsDNA
Porcine mastadenovirus B;Mastadenovirus;Unassigned;Adenoviridae;Unassigned;dsDNA
Porcine mastadenovirus C;Mastadenovirus;Unassigned;Adenoviridae;Unassigned;dsDNA
Sea lion mastadenovirus A;Mastadenovirus;Unassigned;Adenoviridae;Unassigned;dsDNA
Simian mastadenovirus A;Mastadenovirus;Unassigned;Adenoviridae;Unassigned;dsDNA
Simian mastadenovirus B;Mastadenovirus;Unassigned;Adenoviridae;Unassigned;dsDNA
Simian mastadenovirus C;Mastadenovirus;Unassigned;Adenoviridae;Unassigned;dsDNA
Simian mastadenovirus D;Mastadenovirus;Unassigned;Adenoviridae;Unassigned;dsDNA
Simian mastadenovirus E;Mastadenovirus;Unassigned;Adenoviridae;Unassigned;dsDNA
Simian mastadenovirus F;Mastadenovirus;Unassigned;Adenoviridae;Unassigned;dsDNA
Simian mastadenovirus G;Mastadenovirus;Unassigned;Adenoviridae;Unassigned;dsDNA
Simian mastadenovirus H;Mastadenovirus;Unassigned;Adenoviridae;Unassigned;dsDNA
Skunk mastadenovirus A;Mastadenovirus;Unassigned;Adenoviridae;Unassigned;dsDNA
Tree shrew mastadenovirus A;Mastadenovirus;Unassigned;Adenoviridae;Unassigned;dsDNA
Frog siadenovirus A;Siadenovirus;Unassigned;Adenoviridae;Unassigned;dsDNA
Great tit siadenovirus A;Siadenovirus;Unassigned;Adenoviridae;Unassigned;dsDNA
Penguin siadenovirus A;Siadenovirus;Unassigned;Adenoviridae;Unassigned;dsDNA
Raptor siadenovirus A;Siadenovirus;Unassigned;Adenoviridae;Unassigned;dsDNA
Skua siadenovirus A;Siadenovirus;Unassigned;Adenoviridae;Unassigned;dsDNA
Turkey siadenovirus A;Siadenovirus;Unassigned;Adenoviridae;Unassigned;dsDNA
Antheraea eucalypti virus;Betatetravirus;Unassigned;Alphatetraviridae;Unassigned;ssRNA(+)
Darna trima virus;Betatetravirus;Unassigned;Alphatetraviridae;Unassigned;ssRNA(+)
Dasychira pudibunda virus;Betatetravirus;Unassigned;Alphatetraviridae;Unassigned;ssRNA(+)
Nudaurelia capensis beta virus;Betatetravirus;Unassigned;Alphatetraviridae;Unassigned;ssRNA(+)
Philosamia cynthia x ricini virus;Betatetravirus;Unassigned;Alphatetraviridae;Unassigned;ssRNA(+)
Pseudoplusia includens virus;Betatetravirus;Unassigned;Alphatetraviridae;Unassigned;ssRNA(+)
Trichoplusia ni virus;Betatetravirus;Unassigned;Alphatetraviridae;Unassigned;ssRNA(+)
Dendrolimus punctatus virus;Omegatetravirus;Unassigned;Alphatetraviridae;Unassigned;ssRNA(+)
Helicoverpa armigera stunt virus;Omegatetravirus;Unassigned;Alphatetraviridae;Unassigned;ssRNA(+)
Nudaurelia capensis omega virus;Omegatetravirus;Unassigned;Alphatetraviridae;Unassigned;ssRNA(+)
Heterocapsa circularisquama RNA virus 01;Dinornavirus;Unassigned;Alvernaviridae;Unassigned;ssRNA(+)
Blueberry latent virus;Amalgavirus;Unassigned;Amalgaviridae;Unassigned;dsRNA
Rhododendron virus A;Amalgavirus;Unassigned;Amalgaviridae;Unassigned;dsRNA
Southern tomato virus;Amalgavirus;Unassigned;Amalgaviridae;Unassigned;dsRNA
Vicia cryptic virus M;Amalgavirus;Unassigned;Amalgaviridae;Unassigned;dsRNA
Acidianus bottle-shaped virus;Ampullavirus;Unassigned;Ampullaviridae;Unassigned;dsDNA
Torque teno virus 1;Alphatorquevirus;Unassigned;Anelloviridae;Unassigned;ssDNA(-)
Torque teno virus 2;Alphatorquevirus;Unassigned;Anelloviridae;Unassigned;ssDNA(-)
Torque teno virus 3;Alphatorquevirus;Unassigned;Anelloviridae;Unassigned;ssDNA(-)
Torque teno virus 4;Alphatorquevirus;Unassigned;Anelloviridae;Unassigned;ssDNA(-)
Torque teno virus 5;Alphatorquevirus;Unassigned;Anelloviridae;Unassigned;ssDNA(-)
Torque teno virus 6;Alphatorquevirus;Unassigned;Anelloviridae;Unassigned;ssDNA(-)
Torque teno virus 7;Alphatorquevirus;Unassigned;Anelloviridae;Unassigned;ssDNA(-)
Torque teno virus 8;Alphatorquevirus;Unassigned;Anelloviridae;Unassigned;ssDNA(-)
Torque teno virus 9;Alphatorquevirus;Unassigned;Anelloviridae;Unassigned;ssDNA(-)
Torque teno virus 10;Alphatorquevirus;Unassigned;Anelloviridae;Unassigned;ssDNA(-)
Torque teno virus 11;Alphatorquevirus;Unassigned;Anelloviridae;Unassigned;ssDNA(-)
Torque teno virus 12;Alphatorquevirus;Unassigned;Anelloviridae;Unassigned;ssDNA(-)
Torque teno virus 13;Alphatorquevirus;Unassigned;Anelloviridae;Unassigned;ssDNA(-)
Torque teno virus 14;Alphatorquevirus;Unassigned;Anelloviridae;Unassigned;ssDNA(-)
Torque teno virus 15;Alphatorquevirus;Unassigned;Anelloviridae;Unassigned;ssDNA(-)
Torque teno virus 16;Alphatorquevirus;Unassigned;Anelloviridae;Unassigned;ssDNA(-)
Torque teno virus 17;Alphatorquevirus;Unassigned;Anelloviridae;Unassigned;ssDNA(-)
Torque teno virus 18;Alphatorquevirus;Unassigned;Anelloviridae;Unassigned;ssDNA(-)
Torque teno virus 19;Alphatorquevirus;Unassigned;Anelloviridae;Unassigned;ssDNA(-)
Torque teno virus 20;Alphatorquevirus;Unassigned;Anelloviridae;Unassigned;ssDNA(-)
Torque teno virus 21;Alphatorquevirus;Unassigned;Anelloviridae;Unassigned;ssDNA(-)
Torque teno virus 22;Alphatorquevirus;Unassigned;Anelloviridae;Unassigned;ssDNA(-)
Torque teno virus 23;Alphatorquevirus;Unassigned;Anelloviridae;Unassigned;ssDNA(-)
Torque teno virus 24;Alphatorquevirus;Unassigned;Anelloviridae;Unassigned;ssDNA(-)
Torque teno virus 25;Alphatorquevirus;Unassigned;Anelloviridae;Unassigned;ssDNA(-)
Torque teno virus 26;Alphatorquevirus;Unassigned;Anelloviridae;Unassigned;ssDNA(-)
Torque teno virus 27;Alphatorquevirus;Unassigned;Anelloviridae;Unassigned;ssDNA(-)
Torque teno virus 28;Alphatorquevirus;Unassigned;Anelloviridae;Unassigned;ssDNA(-)
Torque teno virus 29;Alphatorquevirus;Unassigned;Anelloviridae;Unassigned;ssDNA(-)
Torque teno mini virus 1;Betatorquevirus;Unassigned;Anelloviridae;Unassigned;ssDNA(-)
Torque teno mini virus 2;Betatorquevirus;Unassigned;Anelloviridae;Unassigned;ssDNA(-)
Torque teno mini virus 3;Betatorquevirus;Unassigned;Anelloviridae;Unassigned;ssDNA(-)
Torque teno mini virus 4;Betatorquevirus;Unassigned;Anelloviridae;Unassigned;ssDNA(-)
Torque teno mini virus 5;Betatorquevirus;Unassigned;Anelloviridae;Unassigned;ssDNA(-)
Torque teno mini virus 6;Betatorquevirus;Unassigned;Anelloviridae;Unassigned;ssDNA(-)
Torque teno mini virus 7;Betatorquevirus;Unassigned;Anelloviridae;Unassigned;ssDNA(-)
Torque teno mini virus 8;Betatorquevirus;Unassigned;Anelloviridae;Unassigned;ssDNA(-)
Torque teno mini virus 9;Betatorquevirus;Unassigned;Anelloviridae;Unassigned;ssDNA(-)
Torque teno mini virus 10;Betatorquevirus;Unassigned;Anelloviridae;Unassigned;ssDNA(-)
Torque teno mini virus 11;Betatorquevirus;Unassigned;Anelloviridae;Unassigned;ssDNA(-)
Torque teno mini virus 12;Betatorquevirus;Unassigned;Anelloviridae;Unassigned;ssDNA(-)
Torque teno tupaia virus;Deltatorquevirus;Unassigned;Anelloviridae;Unassigned;ssDNA(-)
Torque teno tamarin virus;Epsilontorquevirus;Unassigned;Anelloviridae;Unassigned;ssDNA(-)
Torque teno felis virus;Etatorquevirus;Unassigned;Anelloviridae;Unassigned;ssDNA(-)
Torque teno felis virus 2;Etatorquevirus;Unassigned;Anelloviridae;Unassigned;ssDNA(-)
Torque teno midi virus 1;Gammatorquevirus;Unassigned;Anelloviridae;Unassigned;ssDNA(-)
Torque teno midi virus 2;Gammatorquevirus;Unassigned;Anelloviridae;Unassigned;ssDNA(-)
Torque teno midi virus 3;Gammatorquevirus;Unassigned;Anelloviridae;Unassigned;ssDNA(-)
Torque teno midi virus 4;Gammatorquevirus;Unassigned;Anelloviridae;Unassigned;ssDNA(-)
Torque teno midi virus 5;Gammatorquevirus;Unassigned;Anelloviridae;Unassigned;ssDNA(-)
Torque teno midi virus 6;Gammatorquevirus;Unassigned;Anelloviridae;Unassigned;ssDNA(-)
Torque teno midi virus 7;Gammatorquevirus;Unassigned;Anelloviridae;Unassigned;ssDNA(-)
Torque teno midi virus 8;Gammatorquevirus;Unassigned;Anelloviridae;Unassigned;ssDNA(-)
Torque teno midi virus 9;Gammatorquevirus;Unassigned;Anelloviridae;Unassigned;ssDNA(-)
Torque teno midi virus 10;Gammatorquevirus;Unassigned;Anelloviridae;Unassigned;ssDNA(-)
Torque teno midi virus 11;Gammatorquevirus;Unassigned;Anelloviridae;Unassigned;ssDNA(-)
Torque teno midi virus 12;Gammatorquevirus;Unassigned;Anelloviridae;Unassigned;ssDNA(-)
Torque teno midi virus 13;Gammatorquevirus;Unassigned;Anelloviridae;Unassigned;ssDNA(-)
Torque teno midi virus 14;Gammatorquevirus;Unassigned;Anelloviridae;Unassigned;ssDNA(-)
Torque teno midi virus 15;Gammatorquevirus;Unassigned;Anelloviridae;Unassigned;ssDNA(-)
Chicken anemia virus;Gyrovirus;Unassigned;Anelloviridae;Unassigned;ssDNA(-)
Torque teno sus virus 1a;Iotatorquevirus;Unassigned;Anelloviridae;Unassigned;ssDNA(-)
Torque teno sus virus 1b;Iotatorquevirus;Unassigned;Anelloviridae;Unassigned;ssDNA(-)
Torque teno sus virus k2a;Kappatorquevirus;Unassigned;Anelloviridae;Unassigned;ssDNA(-)
Torque teno sus virus k2b;Kappatorquevirus;Unassigned;Anelloviridae;Unassigned;ssDNA(-)
Torque teno zalophus virus 1;Lambdatorquevirus;Unassigned;Anelloviridae;Unassigned;ssDNA(-)
Torque teno canis virus;Thetatorquevirus;Unassigned;Anelloviridae;Unassigned;ssDNA(-)
Torque teno douroucouli virus;Zetatorquevirus;Unassigned;Anelloviridae;Unassigned;ssDNA(-)
Allpahuayo mammarenavirus;Mammarenavirus;Unassigned;Arenaviridae;Unassigned;ssRNA(+/-)
Amapar\xed mammarenavirus;Mammarenavirus;Unassigned;Arenaviridae;Unassigned;ssRNA(+/-)
Bear Canyon mammarenavirus;Mammarenavirus;Unassigned;Arenaviridae;Unassigned;ssRNA(+/-)
Chapare mammarenavirus;Mammarenavirus;Unassigned;Arenaviridae;Unassigned;ssRNA(+/-)
Cupixi mammarenavirus;Mammarenavirus;Unassigned;Arenaviridae;Unassigned;ssRNA(+/-)
Flexal mammarenavirus;Mammarenavirus;Unassigned;Arenaviridae;Unassigned;ssRNA(+/-)
Gairo mammarenavirus;Mammarenavirus;Unassigned;Arenaviridae;Unassigned;ssRNA(+/-)
Guanarito mammarenavirus;Mammarenavirus;Unassigned;Arenaviridae;Unassigned;ssRNA(+/-)
Ippy mammarenavirus;Mammarenavirus;Unassigned;Arenaviridae;Unassigned;ssRNA(+/-)
Jun\xedn mammarenavirus;Mammarenavirus;Unassigned;Arenaviridae;Unassigned;ssRNA(+/-)
Lassa mammarenavirus;Mammarenavirus;Unassigned;Arenaviridae;Unassigned;ssRNA(+/-)
Latino mammarenavirus;Mammarenavirus;Unassigned;Arenaviridae;Unassigned;ssRNA(+/-)
Loei River mammarenavirus;Mammarenavirus;Unassigned;Arenaviridae;Unassigned;ssRNA(+/-)
Lujo mammarenavirus;Mammarenavirus;Unassigned;Arenaviridae;Unassigned;ssRNA(+/-)
Luna mammarenavirus;Mammarenavirus;Unassigned;Arenaviridae;Unassigned;ssRNA(+/-)
Lunk mammarenavirus;Mammarenavirus;Unassigned;Arenaviridae;Unassigned;ssRNA(+/-)
Lymphocytic choriomeningitis mammarenavirus;Mammarenavirus;Unassigned;Arenaviridae;Unassigned;ssRNA(+/-)
Machupo mammarenavirus;Mammarenavirus;Unassigned;Arenaviridae;Unassigned;ssRNA(+/-)
Mariental mammarenavirus;Mammarenavirus;Unassigned;Arenaviridae;Unassigned;ssRNA(+/-)
Merino Walk mammarenavirus;Mammarenavirus;Unassigned;Arenaviridae;Unassigned;ssRNA(+/-)
Mobala mammarenavirus;Mammarenavirus;Unassigned;Arenaviridae;Unassigned;ssRNA(+/-)
Mopeia mammarenavirus;Mammarenavirus;Unassigned;Arenaviridae;Unassigned;ssRNA(+/-)
Okahandja mammarenavirus;Mammarenavirus;Unassigned;Arenaviridae;Unassigned;ssRNA(+/-)
Oliveros mammarenavirus;Mammarenavirus;Unassigned;Arenaviridae;Unassigned;ssRNA(+/-)
Paran\xe1 mammarenavirus;Mammarenavirus;Unassigned;Arenaviridae;Unassigned;ssRNA(+/-)
Pichind\xe9 mammarenavirus;Mammarenavirus;Unassigned;Arenaviridae;Unassigned;ssRNA(+/-)
Pirital mammarenavirus;Mammarenavirus;Unassigned;Arenaviridae;Unassigned;ssRNA(+/-)
Sabi\xe1 mammarenavirus;Mammarenavirus;Unassigned;Arenaviridae;Unassigned;ssRNA(+/-)
Solwezi mammarenavirus;Mammarenavirus;Unassigned;Arenaviridae;Unassigned;ssRNA(+/-)
Tacaribe mammarenavirus;Mammarenavirus;Unassigned;Arenaviridae;Unassigned;ssRNA(+/-)
Tamiami mammarenavirus;Mammarenavirus;Unassigned;Arenaviridae;Unassigned;ssRNA(+/-)
Wenzhou mammarenavirus;Mammarenavirus;Unassigned;Arenaviridae;Unassigned;ssRNA(+/-)
Whitewater Arroyo mammarenavirus;Mammarenavirus;Unassigned;Arenaviridae;Unassigned;ssRNA(+/-)
Alethinophid 1 reptarenavirus;Reptarenavirus;Unassigned;Arenaviridae;Unassigned;ssRNA(+/-)
Alethinophid 2 reptarenavirus;Reptarenavirus;Unassigned;Arenaviridae;Unassigned;ssRNA(+/-)
Alethinophid 3 reptarenavirus;Reptarenavirus;Unassigned;Arenaviridae;Unassigned;ssRNA(+/-)
Heliothis virescens ascovirus 3a;Ascovirus;Unassigned;Ascoviridae;Unassigned;dsDNA
Spodoptera frugiperda ascovirus 1a;Ascovirus;Unassigned;Ascoviridae;Unassigned;dsDNA
Trichoplusia ni ascovirus 2a;Ascovirus;Unassigned;Ascoviridae;Unassigned;dsDNA
Diadromus pulchellus toursvirus;Toursvirus;Unassigned;Ascoviridae;Unassigned;dsDNA
African swine fever virus;Asfivirus;Unassigned;Asfarviridae;Unassigned;dsDNA
Avastrovirus 1;Avastrovirus;Unassigned;Astroviridae;Unassigned;ssRNA(+)
Avastrovirus 2;Avastrovirus;Unassigned;Astroviridae;Unassigned;ssRNA(+)
Avastrovirus 3;Avastrovirus;Unassigned;Astroviridae;Unassigned;ssRNA(+)
Mamastrovirus 1;Mamastrovirus;Unassigned;Astroviridae;Unassigned;ssRNA(+)
Mamastrovirus 2;Mamastrovirus;Unassigned;Astroviridae;Unassigned;ssRNA(+)
Mamastrovirus 3;Mamastrovirus;Unassigned;Astroviridae;Unassigned;ssRNA(+)
Mamastrovirus 4;Mamastrovirus;Unassigned;Astroviridae;Unassigned;ssRNA(+)
Mamastrovirus 5;Mamastrovirus;Unassigned;Astroviridae;Unassigned;ssRNA(+)
Mamastrovirus 6;Mamastrovirus;Unassigned;Astroviridae;Unassigned;ssRNA(+)
Mamastrovirus 7;Mamastrovirus;Unassigned;Astroviridae;Unassigned;ssRNA(+)
Mamastrovirus 8;Mamastrovirus;Unassigned;Astroviridae;Unassigned;ssRNA(+)
Mamastrovirus 9;Mamastrovirus;Unassigned;Astroviridae;Unassigned;ssRNA(+)
Mamastrovirus 10;Mamastrovirus;Unassigned;Astroviridae;Unassigned;ssRNA(+)
Mamastrovirus 11;Mamastrovirus;Unassigned;Astroviridae;Unassigned;ssRNA(+)
Mamastrovirus 12;Mamastrovirus;Unassigned;Astroviridae;Unassigned;ssRNA(+)
Mamastrovirus 13;Mamastrovirus;Unassigned;Astroviridae;Unassigned;ssRNA(+)
Mamastrovirus 14;Mamastrovirus;Unassigned;Astroviridae;Unassigned;ssRNA(+)
Mamastrovirus 15;Mamastrovirus;Unassigned;Astroviridae;Unassigned;ssRNA(+)
Mamastrovirus 16;Mamastrovirus;Unassigned;Astroviridae;Unassigned;ssRNA(+)
Mamastrovirus 17;Mamastrovirus;Unassigned;Astroviridae;Unassigned;ssRNA(+)
Mamastrovirus 18;Mamastrovirus;Unassigned;Astroviridae;Unassigned;ssRNA(+)
Mamastrovirus 19;Mamastrovirus;Unassigned;Astroviridae;Unassigned;ssRNA(+)
Avocado sunblotch viroid;Avsunviroid;Unassigned;Avsunviroidae;Unassigned;ssRNA
Eggplant latent viroid;Elaviroid;Unassigned;Avsunviroidae;Unassigned;ssRNA
Chrysanthemum chlorotic mottle viroid;Pelamoviroid;Unassigned;Avsunviroidae;Unassigned;ssRNA
Peach latent mosaic viroid;Pelamoviroid;Unassigned;Avsunviroidae;Unassigned;ssRNA
Adoxophyes honmai nucleopolyhedrovirus;Alphabaculovirus;Unassigned;Baculoviridae;Unassigned;dsDNA
Agrotis ipsilon multiple nucleopolyhedrovirus;Alphabaculovirus;Unassigned;Baculoviridae;Unassigned;dsDNA
Agrotis segetum nucleopolyhedrovirus A;Alphabaculovirus;Unassigned;Baculoviridae;Unassigned;dsDNA
Agrotis segetum nucleopolyhedrovirus B;Alphabaculovirus;Unassigned;Baculoviridae;Unassigned;dsDNA
Antheraea pernyi nucleopolyhedrovirus;Alphabaculovirus;Unassigned;Baculoviridae;Unassigned;dsDNA
Anticarsia gemmatalis multiple nucleopolyhedrovirus;Alphabaculovirus;Unassigned;Baculoviridae;Unassigned;dsDNA
Autographa californica multiple nucleopolyhedrovirus;Alphabaculovirus;Unassigned;Baculoviridae;Unassigned;dsDNA
Bombyx mori nucleopolyhedrovirus;Alphabaculovirus;Unassigned;Baculoviridae;Unassigned;dsDNA
Buzura suppressaria nucleopolyhedrovirus;Alphabaculovirus;Unassigned;Baculoviridae;Unassigned;dsDNA
Catopsilia pomona nucleopolyhedrovirus;Alphabaculovirus;Unassigned;Baculoviridae;Unassigned;dsDNA
Choristoneura fumiferana DEF multiple nucleopolyhedrovirus;Alphabaculovirus;Unassigned;Baculoviridae;Unassigned;dsDNA
Choristoneura fumiferana multiple nucleopolyhedrovirus;Alphabaculovirus;Unassigned;Baculoviridae;Unassigned;dsDNA
Choristoneura murinana nucleopolyhedrovirus;Alphabaculovirus;Unassigned;Baculoviridae;Unassigned;dsDNA
Choristoneura rosaceana nucleopolyhedrovirus;Alphabaculovirus;Unassigned;Baculoviridae;Unassigned;dsDNA
Chrysodeixis chalcites nucleopolyhedrovirus;Alphabaculovirus;Unassigned;Baculoviridae;Unassigned;dsDNA
Chrysodeixis includens nucleopolyhedrovirus;Alphabaculovirus;Unassigned;Baculoviridae;Unassigned;dsDNA
Clanis bilineata nucleopolyhedrovirus;Alphabaculovirus;Unassigned;Baculoviridae;Unassigned;dsDNA
Ectropis obliqua nucleopolyhedrovirus;Alphabaculovirus;Unassigned;Baculoviridae;Unassigned;dsDNA
Epiphyas postvittana nucleopolyhedrovirus;Alphabaculovirus;Unassigned;Baculoviridae;Unassigned;dsDNA
Euproctis pseudoconspersa nucleopolyhedrovirus;Alphabaculovirus;Unassigned;Baculoviridae;Unassigned;dsDNA
Helicoverpa armigera nucleopolyhedrovirus;Alphabaculovirus;Unassigned;Baculoviridae;Unassigned;dsDNA
Hyphantria cunea nucleopolyhedrovirus;Alphabaculovirus;Unassigned;Baculoviridae;Unassigned;dsDNA
Lambdina fiscellaria nucleopolyhedrovirus;Alphabaculovirus;Unassigned;Baculoviridae;Unassigned;dsDNA
Leucania separata nucleopolyhedrovirus;Alphabaculovirus;Unassigned;Baculoviridae;Unassigned;dsDNA
Lymantria dispar multiple nucleopolyhedrovirus;Alphabaculovirus;Unassigned;Baculoviridae;Unassigned;dsDNA
Lymantria xylina nucleopolyhedrovirus;Alphabaculovirus;Unassigned;Baculoviridae;Unassigned;dsDNA
Mamestra brassicae multiple nucleopolyhedrovirus;Alphabaculovirus;Unassigned;Baculoviridae;Unassigned;dsDNA
Mamestra configurata nucleopolyhedrovirus A;Alphabaculovirus;Unassigned;Baculoviridae;Unassigned;dsDNA
Mamestra configurata nucleopolyhedrovirus B;Alphabaculovirus;Unassigned;Baculoviridae;Unassigned;dsDNA
Maruca vitrata nucleopolyhedrovirus;Alphabaculovirus;Unassigned;Baculoviridae;Unassigned;dsDNA
Orgyia leucostigma nucleopolyhedrovirus;Alphabaculovirus;Unassigned;Baculoviridae;Unassigned;dsDNA
Orgyia pseudotsugata multiple nucleopolyhedrovirus;Alphabaculovirus;Unassigned;Baculoviridae;Unassigned;dsDNA
Spodoptera exigua multiple nucleopolyhedrovirus;Alphabaculovirus;Unassigned;Baculoviridae;Unassigned;dsDNA
Spodoptera frugiperda multiple nucleopolyhedrovirus;Alphabaculovirus;Unassigned;Baculoviridae;Unassigned;dsDNA
Spodoptera littoralis nucleopolyhedrovirus;Alphabaculovirus;Unassigned;Baculoviridae;Unassigned;dsDNA
Spodoptera litura nucleopolyhedrovirus;Alphabaculovirus;Unassigned;Baculoviridae;Unassigned;dsDNA
Sucra jujuba nucleopolyhedrovirus;Alphabaculovirus;Unassigned;Baculoviridae;Unassigned;dsDNA
Thysanoplusia orichalcea nucleopolyhedrovirus;Alphabaculovirus;Unassigned;Baculoviridae;Unassigned;dsDNA
Trichoplusia ni single nucleopolyhedrovirus;Alphabaculovirus;Unassigned;Baculoviridae;Unassigned;dsDNA
Wiseana signata nucleopolyhedrovirus;Alphabaculovirus;Unassigned;Baculoviridae;Unassigned;dsDNA
Adoxophyes orana granulovirus;Betabaculovirus;Unassigned;Baculoviridae;Unassigned;dsDNA
Agrotis segetum granulovirus;Betabaculovirus;Unassigned;Baculoviridae;Unassigned;dsDNA
Artogeia rapae granulovirus;Betabaculovirus;Unassigned;Baculoviridae;Unassigned;dsDNA
Choristoneura fumiferana granulovirus;Betabaculovirus;Unassigned;Baculoviridae;Unassigned;dsDNA
Clostera anachoreta granulovirus;Betabaculovirus;Unassigned;Baculoviridae;Unassigned;dsDNA
Clostera anastomosis granulovirus A;Betabaculovirus;Unassigned;Baculoviridae;Unassigned;dsDNA
Clostera anastomosis granulovirus B;Betabaculovirus;Unassigned;Baculoviridae;Unassigned;dsDNA
Cryptophlebia leucotreta granulovirus;Betabaculovirus;Unassigned;Baculoviridae;Unassigned;dsDNA
Cydia pomonella granulovirus;Betabaculovirus;Unassigned;Baculoviridae;Unassigned;dsDNA
Diatraea saccharalis granulovirus;Betabaculovirus;Unassigned;Baculoviridae;Unassigned;dsDNA
Epinotia aporema granulovirus;Betabaculovirus;Unassigned;Baculoviridae;Unassigned;dsDNA
Erinnyis ello granulovirus;Betabaculovirus;Unassigned;Baculoviridae;Unassigned;dsDNA
Harrisina brillians granulovirus;Betabaculovirus;Unassigned;Baculoviridae;Unassigned;dsDNA
Helicoverpa armigera granulovirus;Betabaculovirus;Unassigned;Baculoviridae;Unassigned;dsDNA
Lacanobia oleracea granulovirus;Betabaculovirus;Unassigned;Baculoviridae;Unassigned;dsDNA
Phthorimaea operculella granulovirus;Betabaculovirus;Unassigned;Baculoviridae;Unassigned;dsDNA
Plodia interpunctella granulovirus;Betabaculovirus;Unassigned;Baculoviridae;Unassigned;dsDNA
Plutella xylostella granulovirus;Betabaculovirus;Unassigned;Baculoviridae;Unassigned;dsDNA
Pseudalatia unipuncta granulovirus;Betabaculovirus;Unassigned;Baculoviridae;Unassigned;dsDNA
Spodoptera frugiperda granulovirus;Betabaculovirus;Unassigned;Baculoviridae;Unassigned;dsDNA
Spodoptera litura granulovirus;Betabaculovirus;Unassigned;Baculoviridae;Unassigned;dsDNA
Trichoplusia ni granulovirus;Betabaculovirus;Unassigned;Baculoviridae;Unassigned;dsDNA
Xestia c-nigrum granulovirus;Betabaculovirus;Unassigned;Baculoviridae;Unassigned;dsDNA
Culex nigripalpus nucleopolyhedrovirus;Deltabaculovirus;Unassigned;Baculoviridae;Unassigned;dsDNA
Neodiprion lecontei nucleopolyhedrovirus;Gammabaculovirus;Unassigned;Baculoviridae;Unassigned;dsDNA
Neodiprion sertifer nucleopolyhedrovirus;Gammabaculovirus;Unassigned;Baculoviridae;Unassigned;dsDNA
Mushroom bacilliform virus;Barnavirus;Unassigned;Barnaviridae;Unassigned;ssRNA(+)
Beet necrotic yellow vein virus;Benyvirus;Unassigned;Benyviridae;Unassigned;ssRNA(+)
Beet soil-borne mosaic virus;Benyvirus;Unassigned;Benyviridae;Unassigned;ssRNA(+)
Burdock mottle virus;Benyvirus;Unassigned;Benyviridae;Unassigned;ssRNA(+)
Rice stripe necrosis virus;Benyvirus;Unassigned;Benyviridae;Unassigned;ssRNA(+)
Acidianus two-tailed virus;Bicaudavirus;Unassigned;Bicaudaviridae;Unassigned;dsDNA
Bombyx mori bidensovirus;Bidensovirus;Unassigned;Bidnaviridae;Unassigned;ssDNA(+/-)
Infectious pancreatic necrosis virus;Aquabirnavirus;Unassigned;Birnaviridae;Unassigned;dsRNA
Tellina virus;Aquabirnavirus;Unassigned;Birnaviridae;Unassigned;dsRNA
Yellowtail ascites virus;Aquabirnavirus;Unassigned;Birnaviridae;Unassigned;dsRNA
Infectious bursal disease virus;Avibirnavirus;Unassigned;Birnaviridae;Unassigned;dsRNA
Blotched snakehead virus;Blosnavirus;Unassigned;Birnaviridae;Unassigned;dsRNA
Drosophila X virus;Entomobirnavirus;Unassigned;Birnaviridae;Unassigned;dsRNA
Alfalfa mosaic virus;Alfamovirus;Unassigned;Bromoviridae;Unassigned;ssRNA(+)
Amazon lily mild mottle virus;Anulavirus;Unassigned;Bromoviridae;Unassigned;ssRNA(+)
Pelargonium zonate spot virus;Anulavirus;Unassigned;Bromoviridae;Unassigned;ssRNA(+)
Broad bean mottle virus;Bromovirus;Unassigned;Bromoviridae;Unassigned;ssRNA(+)
Brome mosaic virus;Bromovirus;Unassigned;Bromoviridae;Unassigned;ssRNA(+)
Cassia yellow blotch virus;Bromovirus;Unassigned;Bromoviridae;Unassigned;ssRNA(+)
Cowpea chlorotic mottle virus;Bromovirus;Unassigned;Bromoviridae;Unassigned;ssRNA(+)
